provcd_born,cid,countyid,age,urban,gender,qb1,fincome,fage,mage,divorce,han,fbirthy,mbirthy,feduy,meduy,remarriage,younger_brother,confidence,anxiety,desperation,onechild,ifppr,qa1y_best,qa402,qc1,qc8,qe1,qk601,qk7,qk801,qk802,qk803,qk804,qm403,qm503,qm505,qm507,qm509,qm510,qp8,qp801,qq2,qq201,qq3,qq301,qq601,qq602,qq606,eduy,seduy,qz201,qz208,qz211,eduy2010,qa302,urban_3,urban_14,qa5code
11,21180,112,24,0,0,0,5001,48,48,0,1,1962,1962,6,6,0,0,3,5,5,1,111,1986,3,4,4,2,0,0,4,4,4,4,3,3,4,4,4,4,0,-8,0,-8,0,-8,5,5,5,12,3,7,7,7,12,3,1,1,1
11,11840,45,29,1,0,0,106000,57,57,0,1,1953,1953,9,15,0,0,4,5,5,1,111,1981,3,5,5,2,36000,3055,5,3,5,5,4,3,2,1,1,1,0,-8,0,-8,0,-8,4,5,5,15,15,6,5,6,15,3,1,1,1
11,11820,45,29,1,1,0,50000,58,55,0,1,1952,1955,9,7.5,0,0,4,5,5,1,111,1981,3,4,6,1,12000,1000,3,3,4,3,3,5,5,1,3,5,3,2,1,25,0,-8,5,4,5,12,NA,6,5,5,15,3,1,1,1
11,11820,45,30,1,1,0,110000,52,59,0,0,1958,1951,16,12,0,0,5,5,5,1,111,1980,3,4,5,2,50000,4000,4,5,5,4,5,5,4,2,4,3,0,-8,0,-8,0,-8,4,5,5,12,16,6,6,6,12,3,1,1,3
11,11830,45,21,1,1,0,75000,58,55,0,1,1952,1955,3,0,0,0,3,4,4,1,111,1989,3,4,6,1,-8,-8,-8,-8,-8,-8,4,5,5,3,2,4,5,15,0,-8,1,17,4,4,4,14,NA,7,7,6,12,3,1,1,1
11,11840,45,27,1,1,0,171600,52,52,0,1,1958,1958,9,10.5,0,0,4,4,5,1,111,1983,3,5,6,2,30000,3000,4,4,4,4,3,5,5,3,3,3,5,1,0,-8,0,-8,4,4,5,15,12,6,6,6,15,3,1,1,1
11,11830,45,20,1,1,1,40000,48,47,0,1,1962,1963,9,9,0,0,3,5,5,0,111,1990,1,3,4,1,30000,3000,3,3,3,3,3,4,3,4,3,4,2,40,1,17,0,-8,4,4,5,9,NA,7,6,5,9,1,0,0,1
11,11840,45,30,1,1,0,90200,57,56,0,1,1953,1954,12,9,0,0,4,5,5,1,111,1980,3,6,6,1,43200,3600,4,4,4,4,3,4,4,3,3,3,5,1,0,-8,0,-8,5,5,5,15,NA,6,6,6,16,3,1,1,1
11,11910,47,30,0,0,0,6000,54,55,0,0,1956,1955,9,0,0,0,3,5,5,1,111,1980,1,1,-8,2,0,2000,5,5,5,5,3,3,3,3,5,5,7,30,0,-8,0,-8,5,5,5,0,13.5,3,2,3,0,1,0,0,11
11,11820,45,30,1,0,0,84200,63,60,0,1,1947,1950,12,12,0,0,4,5,5,1,111,1980,3,5,6,1,35000,7000,5,4,5,5,4,4,4,3,5,5,7,60,0,-8,0,-8,3,4,5,15,NA,6,6,6,15,3,1,1,1
